"Rank","Organization","Total Investors","Minimum Investment","Maximum Investment"
"1","Apple Inc","16","$847019","$2162000"
"2","Microsoft Corp","15","$1120021","$2510000"
"3","Cisco Systems","12","$420016","$1104000"
"3","General Electric","12","$39011","$241000"
"5","Bank of America","11","$560016","$1380000"
"6","Amazon.com","10","$408013","$1146000"
"6","Alphabet Inc","10","$913013","$2051000"
"6","Berkshire Hathaway","10","$592013","$1387000"
"6","Exxon Mobil","10","$566015","$1542000"
"6","Johnson & Johnson","10","$196014","$594000"
"6","PepsiCo Inc","10","$527010","$1283000"
"6","Procter & Gamble","10","$435010","$1029000"
"6","Verizon Communications","10","$405016","$1002000"
"6","Walt Disney Co","10","$152011","$507000"
"15","Pfizer Inc","9","$77007","$284000"
"15","JPMorgan Chase & Co","9","$120015","$452000"
"17","Intel Corp","8","$80010","$326000"
"17","Chevron Corp","8","$34006","$164000"
"17","3M Co","8","$696007","$1516000"
"17","Wells Fargo & Co","8","$900011","$1976000"
"21","Visa Inc","7","$682007","$1485000"
"21","AT&T Inc","7","$196013","$641000"
"21","Honeywell International","7","$162007","$482000"
"24","IBM Corp","6","$249009","$711000"
"24","General Mills","6","$218006","$596000"
"24","Danaher Corp","6","$570008","$1228000"
"24","CVS Caremark","6","$85008","$275000"
"24","Amgen Inc","6","$50008","$227000"
"24","Abbott Laboratories","6","$303005","$650000"
"24","Citigroup Inc","6","$119007","$313000"
"24","Boeing Co","6","$576007","$1266000"
"24","Medtronic PLC","6","$120007","$378000"
"24","Merck & Co","6","$63007","$247000"
"24","NIKE Inc","6","$218007","$545000"
"24","Mondelez International","6","$261007","$716000"
"24","Starbucks Corp","6","$281004","$619000"
"37","Thermo Fisher Scientific","5","$19005","$114000"
"37","TJX Companies","5","$118005","$345000"
"37","Schlumberger NV","5","$18004","$96000"
"37","MetLife Inc","5","$127008","$380000"
"37","Chubb Ltd","5","$16002","$69000"
"37","Comcast Corp","5","$2002","$38000"
"37","AbbVie Inc","5","$84007","$263000"
"37","DowDuPont Inc","5","$218007","$548000"
"37","Emerson Electric","5","$32004","$132000"
"37","Enbridge Inc","5","$17003","$82000"
"37","VF Corp","5","$268005","$595000"
"48","Walmart Inc","4","$132005","$380000"
"48","Energy Transfer LP","4","$52003","$133000"
"48","Gilead Sciences","4","$68005","$198000"
